Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xf91c0d5cf788138ad3549b640f7af4941896986b3313cae19d46dcbda9cc63b0","Success","Approve","41552794","2024-08-21 08:47:19","0x58f01Fc6008AAa504FAA0332ED35e965D3265209","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00032622"
"0x441317d38732debf2a5a71c143c27ef74958fbff48f3f2c86685c7ae66d8fe04","Success","Approve","41549739","2024-08-21 06:14:20","0xf51B205F3fD7A346FaE9b00E9969048735C3369C","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0001398"
"0x5dd6f66ed2c232b87b8ddff4d4b1b447a8d05aa3ac924f5ae44ac1125b5dd630","Success","Approve","41549596","2024-08-21 06:07:11","0x38F2838071ef591D7Eb802dD5f5C689990d6319F","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0001398"
"0x096128d2692fbaf1b52e972e482091493be62d9caf4e7446edbb58f58d5c8d8d","Success","Approve","41545393","2024-08-21 02:35:24","0x93fB7541012b07644604f6530B9f445BbC3243a9","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00005126"
"0x1cee308570d7a2c66ca18313181bd23fbd48ed9b04d1fbf1d5a246d10a28f386","Success","Approve","41545001","2024-08-21 02:15:43","0x93fB7541012b07644604f6530B9f445BbC3243a9","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0xe9994647fb3388033b62d3044c61fbaa1410b4fc60a25e5155506281cf08453e","Success","Transfer","41544289","2024-08-21 01:39:50","0x63548DadE4bE57982212e00332c65836120255E5","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00007745"
"0x9949e4be0ba53f484bd3dd66174b4c034055a14c4c6ccaad45320ad1b39a917c","Success","Transfer","41544205","2024-08-21 01:35:36","0x4BADc12101EDfc8990015B4364879A811D4803cD","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00009455"
"0x9724b1335ce8be0e4b949af8ba1ea7b7f93c3dfa775161717b68baa8eadf7743","Success","Approve","41535242","2024-08-20 18:06:05","0x26fA721149532d5C5AC9AAB288C768fc184E93CB","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0xe7bc2028ae31e4ada2e6e2ecfe802a8821876068cc26f6a04bc4a9257863d498","Success","Transfer","41533760","2024-08-20 16:51:21","0x9bEf81eC47B52bB090DbdE1f3F654842B998d997","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00007065"
"0x5ccb4ce41539ea25d5b73266b4ef401bdb5639fcac9a5845d64dd17f4be04d06","Success","Approve","41533607","2024-08-20 16:43:41","0x9bEf81eC47B52bB090DbdE1f3F654842B998d997","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0x4f02c757bcb66b2772a838cdcc8e9068d994f35e3507d1453b9227ab3283937b","Success","Transfer","41528987","2024-08-20 12:52:28","0xe3F7541A80e80317D6E0427088850AD5e72602Bd","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00009294"
